Cycle_Number,Time_s,Voltage_V,Current_A,Temp_C,Qd
1,0.0,2.0264158,0.0,31.632496,1.0706892
1,800.4696000000004,3.4778967,0.0019897114545454,33.139977,1.0706892
1,800.4750000000004,3.4778967,0.0019897114545454,33.139977,1.0706892
1,805.5361000000012,3.4343033,0.0,33.163277,1.0706892
1,810.5354000000007,3.4161205,0.0,33.193447,1.0706892
1,815.5370999999996,3.4035759,0.0,33.140121,1.0706892
1,820.5360000000001,3.3943663,0.0,33.090973,1.0706892
1,825.5343000000012,3.3873606,0.0,33.075005,1.0706892
1,830.5359000000008,3.3818703,0.0,32.976379,1.0706892
1,835.5329000000002,3.3775043,0.0,32.939518,1.0706892
1,840.5325000000012,3.3739414,0.0,32.859066,1.0706892
1,845.5331999999999,3.3710518,0.0,32.865292,1.0706892
1,850.5365000000002,3.3686705,0.0,32.816109,1.0706892
1,855.5349999999999,3.3666515,0.0,32.701454,1.0706892
1,860.5319,3.3648825,0.0,32.6203,1.0706892
1,860.5388000000003,3.3648844,0.0,32.6203,1.0706892
1,861.365600000001,3.2980213,0.000174695790909,32.6203,1.0706892
1,2021.3911000000005,3.6001215,0.0478952581818181,29.620148,1.0706892
1,2026.3899,3.599967,0.0479082627272727,29.628006,1.0706892
1,2031.3968000000004,3.5998697,0.0479342718181818,29.628006,1.0706892
1,2031.3969,3.5998697,0.0479342718181818,29.625114,1.0706892
1,2036.395700000001,3.5998135,0.0479342718181818,29.612093,1.0706892
1,2041.3973000000003,3.5997896,0.047869249090909,29.619164,1.0706892
1,2046.396500000001,3.599761,0.047897859090909,29.628511,1.0706892
1,2051.3911000000007,3.5997944,0.0479047945454545,29.609203,1.0706892
1,2056.3945000000003,3.5998211,0.0479004599999999,29.604231,1.0706892
1,2061.392100000001,3.5998878,0.0478926572727272,29.585907,1.0706892
1,2061.3950000000004,3.5998793,0.0478952581818181,29.585907,1.0706892
1,2061.5061000000005,3.5895634,-0.4396299909090909,29.585907,1.0706892
1,2061.58,3.5780163,-0.9200061818181816,29.585907,1.0706892
1,2061.650600000001,3.5678596,-1.3194413636363636,29.585907,1.0706892
1,2061.715400000001,3.5562344,-1.7602205454545452,29.585907,1.0706892
1,2061.7788,3.5461626,-2.1198974545454545,29.585907,1.0706892
1,2061.832700000001,3.5358915,-2.479784727272727,29.585907,1.0706892
1,2061.8901000000005,3.5252018,-2.8398903636363637,29.585907,1.0706892
1,2061.9545,3.51297,-3.239767727272727,29.585907,1.0706892
1,2062.0065000000013,3.5029554,-3.5595351818181817,29.585907,1.0706892
1,2062.0566,3.4926128,-3.8796550909090906,29.585907,1.0706892
1,2062.1819,3.4824533,-3.9611391818181816,29.585907,1.0706892
1,2062.3433000000005,3.4717007,-3.999958,29.585907,1.0706892
1,2062.547200000001,3.4610929,-3.9996454545454543,29.585907,1.0706892
1,2062.774800000001,3.4507456,-3.999678454545454,29.585907,1.0706892
1,2063.0319,3.440671,-3.999538,29.585907,1.0706892
1,2063.305700000001,3.4306316,-3.999691,29.585907,1.0706892
1,2063.6242,3.420496,-3.999894727272727,29.594099,1.0706892
1,2063.9938,3.4100933,-3.999636,29.594099,1.0706892
1,2064.392,3.4000568,-3.999556636363636,29.594099,1.0706892
1,2064.8416,3.389924,-4.000365545454545,29.594099,1.0706892
1,2065.332900000001,3.3798666,-3.9999168181818177,29.594099,1.0706892
1,2065.8953,3.3696966,-3.999833636363636,29.594099,1.0706892
